"time","ta","tb","tcl","tcr","tsk","scr","ssk","m","hfcs","eres","cres","dry","esk"
1560,20,36.03167246093768,27.57398594586311,36.82440230399762,32.16462517584539,-0.5526065942689584,-13.79309721587427,58.2,52.89538474004146,4.716501854227497,1.14072,59.23405458041653,7.454427375499196
1620,20,36.01773441944865,27.55191792492139,36.82410264823737,32.12888175406155,-0.5596512370670723,-13.58972706547104,58.2,52.90242938283958,4.716501854227497,1.14072,59.05759779535692,7.434558652953702
1680,20,36.00389229802574,27.5303742582089,36.82379928912476,32.09398933704988,-0.5642970242504575,-13.39347719595963,58.2,52.90707517002296,4.716501854227497,1.14072,58.88535585601268,7.415196509969909
1740,20,35.99014896564813,27.50933218821502,36.82349350171825,32.05991094540547,-0.5669971543852768,-13.20368796255456,58.2,52.90977530015778,4.716501854227497,1.14072,58.71714525407036,7.39631800864198
1800,20,35.97650599442633,27.48877094970297,36.82318624376969,32.02661283589635,-0.5680857243940594,-13.01983685992597,58.2,52.91086387016657,4.716501854227497,1.14072,58.55279853152756,7.37790219856497
1860,20,35.96296531998326,27.46867132367595,36.82287839883157,31.99406377803961,-0.5678710796596889,-12.8414411706368,58.2,52.91064922543219,4.716501854227497,1.14072,58.39216070146659,7.3599296946024
1920,20,35.94952733833982,27.4490154441263,36.82257057283344,31.96223474026219,-0.5665597727627798,-12.66813225899412,58.2,52.90933791853529,4.716501854227497,1.14072,58.23508769207617,7.342382485453232
1980,20,35.93619171476998,27.42978715251327,36.82226318280283,31.93109946308152,-0.5642874360713108,-12.49962781957709,58.2,52.90706558184382,4.716501854227497,1.14072,58.08144916862252,7.325244232798382
2040,20,35.9229572362997,27.4109719751126,36.8219564534752,31.90063442156077,-0.5611170997552861,-12.33573332889145,58.2,52.90389524552779,4.716501854227497,1.14072,57.93112834126671,7.308500233152527
2100,20,35.90982718760941,27.39255260771377,36.82165128414438,31.87081151389308,-0.5573878356553195,-12.17595329670405,58.2,52.90016598142783,4.716501854227497,1.14072,57.78398588618459,7.292133391947287
2160,20,35.89680024817566,27.37451620525362,36.8213477917195,31.84160986408111,-0.5531280885999266,-12.0201426442207,58.2,52.89590623437243,4.716501854227497,1.14072,57.63991817841914,7.276130700173987
2220,20,35.88387556292608,27.35685022932638,36.82104614242044,31.81300909761477,-0.5483899024825476,-11.86813558290254,58.2,52.89116804825505,4.716501854227497,1.14072,57.49882410694689,7.260479524210707
2280,20,35.87105351556767,27.33954116486119,36.82074670173331,31.78498726365261,-0.5433114085699842,-11.71967173421298,58.2,52.88608955434249,4.716501854227497,1.14072,57.36059482311501,7.245166465440467
2340,20,35.85833281416782,27.32257816951164,36.82044951172388,31.75752674285217,-0.5379005817197822,-11.57464473866075,58.2,52.88067872749229,4.716501854227497,1.14072,57.22514288181319,7.230180584339849
2400,20,35.84571267012934,27.30595026690859,36.82015469027184,31.7306097029453,-0.5321997195755728,-11.43291286059716,58.2,52.87497786534808,4.716501854227497,1.14072,57.09237981982861,7.215510906116631
